word_triplet,word1,word2,word3,triplet_freq,word1_freq,word2_freq,word3_freq,logdice
vervet monkeys cheney,vervet,monkeys,cheney,9,17,87,24,11.754888
matthews sanford 1944,matthews,sanford,1944,7,47,9,45,11.734106
cyanosis leukonychia dupuytrens,cyanosis,leukonychia,dupuytrens,8,86,11,20,11.714598
seif el dawla,seif,el,dawla,6,7,75,6,11.710493
roger brownsword regulating,roger,brownsword,regulating,14,65,23,119,11.69883
lauer quentin phenomenology,lauer,quentin,phenomenology,6,12,11,67,11.678072
yielding dairy cows,yielding,dairy,cows,30,101,195,161,11.655803
peach linden angela,peach,linden,angela,5,10,8,60,11.621488
ma robb je2000,ma,robb,je2000,6,66,22,6,11.615336
dobbs ma robb,dobbs,ma,robb,6,6,66,22,11.615336
becker hungry ghosts,becker,hungry,ghosts,11,80,43,50,11.609766
leopold von ranke,leopold,von,ranke,19,25,89,187,11.59927
axford barrie browning,axford,barrie,browning,7,12,11,90,11.572138
bernard bailyn voyagers,bernard,bailyn,voyagers,5,58,17,6,11.567041
newman ernest wagner,newman,ernest,wagner,5,20,35,26,11.567041
dobres ma robb,dobres,ma,robb,6,10,66,22,11.555215
monkeys cheney seyfarth,monkeys,cheney,seyfarth,8,87,24,20,11.551539
rambler motors amc,rambler,motors,amc,6,9,82,8,11.540568
minute dot com,minute,dot,com,14,139,58,37,11.521953
intracellular viral rna,intracellular,viral,rna,21,73,83,201,11.4975
dunne hedley bulls,dunne,hedley,bulls,7,18,57,45,11.485427
sd hammond cornerstones,sd,hammond,cornerstones,5,61,17,8,11.480626
harper torchbooks 1958,harper,torchbooks,1958,6,23,6,75,11.469485
es eigentlich gewesen,es,eigentlich,gewesen,6,90,7,7,11.469485
die verlorene ehre,die,verlorene,ehre,23,361,24,23,11.436099
homer iliad bk,homer,iliad,bk,14,105,125,20,11.426533
du adam munich,du,adam,munich,15,81,144,43,11.425764
haslam fragmenting modernism,haslam,fragmenting,modernism,8,14,8,121,11.425091
der goldne topf,der,goldne,topf,11,175,11,11,11.422342
inverse laplace transform,inverse,laplace,transform,17,129,31,145,11.41976
clubbing cyanosis leukonychia,clubbing,cyanosis,leukonychia,8,47,86,11,11.415037
wie es eigentlich,wie,es,eigentlich,6,11,90,7,11.415037
larson andean highland,larson,andean,highland,5,27,44,19,11.415037
hostess club chicago,hostess,club,chicago,18,28,199,108,11.36687
putney debates 29th,putney,debates,29th,15,50,217,18,11.337035
amari coral beach,amari,coral,beach,6,8,49,58,11.324435
strangelove stanley kubrick,strangelove,stanley,kubrick,5,35,50,12,11.306978
der blaue engel,der,blaue,engel,11,175,13,26,11.302927
lb curzon jurisprudence,lb,curzon,jurisprudence,7,36,11,90,11.294285
prospect harper torchbooks,prospect,harper,torchbooks,6,89,23,6,11.287282
sharon pat barker,sharon,pat,barker,5,15,31,53,11.277534
pat barker northcote,pat,barker,northcote,5,31,53,15,11.277534
bpsk qpsk 16psk,bpsk,qpsk,16psk,5,42,29,28,11.277534
ma robb je,ma,robb,je,6,66,22,31,11.275107
cough sputum tracheal,cough,sputum,tracheal,7,82,46,11,11.273376
joy luck club,joy,luck,club,15,51,48,199,11.272685
master scorer pc,master,scorer,pc,17,191,19,128,11.271546
erythema clubbing cyanosis,erythema,clubbing,cyanosis,8,27,47,86,11.263034
thomas heatherwick studio,thomas,heatherwick,studio,21,344,22,55,11.259604
watt contributory fault,watt,contributory,fault,16,54,94,173,11.258533
carpal tunnel syndrome,carpal,tunnel,syndrome,19,45,138,199,11.255461
stephen wilkinson hashmi,stephen,wilkinson,hashmi,15,122,138,42,11.253448
dworkin kyriakou tania,dworkin,kyriakou,tania,5,85,8,8,11.248679
hexagonal sampling grid,hexagonal,sampling,grid,27,72,287,187,11.247093
carotid artery stenosis,carotid,artery,stenosis,8,65,69,28,11.245112
andean highland peasants,andean,highland,peasants,11,44,19,163,11.224215
les mots pour,les,mots,pour,5,52,5,46,11.22039
palmer erythema clubbing,palmer,erythema,clubbing,7,72,27,47,11.202493
barrie browning gary,barrie,browning,gary,7,11,90,45,11.202493
champion gamble shennan,champion,gamble,shennan,7,30,110,8,11.182864
ewing kd constitutional,ewing,kd,constitutional,7,11,9,129,11.173149
fincham rhodes 202,fincham,rhodes,202,6,45,49,36,11.147557
plutarch sayings unnamed,plutarch,sayings,unnamed,9,161,14,21,11.140178
belfast author unstated,belfast,author,unstated,29,37,573,30,11.121015
iglesia columbus cortés,iglesia,columbus,cortés,6,10,28,95,11.114643
spi driver pcbs,spi,driver,pcbs,12,39,184,47,11.093109
dibb simkin pride,dibb,simkin,pride,8,19,11,150,11.093109
gamble shennan whittle,gamble,shennan,whittle,7,110,8,40,11.088537
reg cellulose 350,reg,cellulose,350,6,15,60,61,11.082462
arthur schlesinger jr,arthur,schlesinger,jr,6,50,17,69,11.082462
bovine serum albumin,bovine,serum,albumin,6,45,76,19,11.040642
schwarzbach fs dickens,schwarzbach,fs,dickens,12,28,45,212,11.015107
mda freeman lloyds,mda,freeman,lloyds,5,8,75,36,11.012073
jjoshua regulating cartels,jjoshua,regulating,cartels,7,7,119,41,11.008613
wellington valley mission,wellington,valley,mission,14,22,147,167,11.0
vladimir ilich lenin,vladimir,ilich,lenin,10,14,12,214,11.0
staunch kay wheat,staunch,kay,wheat,7,23,21,125,10.991438
lonely londoners longman,lonely,londoners,longman,5,39,17,65,10.988027
aires friday 7th,aires,friday,7th,7,77,46,48,10.974465
ex parte quintavelle,ex,parte,quintavelle,13,217,89,13,10.96799
anderson benedict imagined,anderson,benedict,imagined,7,85,16,73,10.949374
grant matthews newell,grant,matthews,newell,11,207,47,23,10.930652
cambridge university press,cambridge,university,press,147,561,1625,1527,10.926265
kinser annaliste paradigm,kinser,annaliste,paradigm,8,14,16,181,10.863863
subaltern cosmopolitan legality,subaltern,cosmopolitan,legality,9,27,170,41,10.86007
metropolis monte carlo,metropolis,monte,carlo,6,118,23,19,10.847997
le petit blanc,le,petit,blanc,6,132,14,14,10.847997
oliver twist dover,oliver,twist,dover,7,102,67,18,10.845423
galagoides cf cocos,galagoides,cf,cocos,8,16,179,20,10.83677
detective adam belmayne,detective,adam,belmayne,9,31,144,67,10.836024
greek magical papyri,greek,magical,papyri,29,588,149,43,10.835613
nación buenos aires,nación,buenos,aires,6,7,78,77,10.830075
nightwork sexuality pleasure,nightwork,sexuality,pleasure,19,19,249,246,10.827265
hedley bulls pluralism,hedley,bulls,pluralism,7,57,45,88,10.822462
xray powder diffraction,xray,powder,diffraction,19,246,115,158,10.813299
clarín buenos aires,clarín,buenos,aires,6,9,78,77,10.812373
palpation percussion resonant,palpation,percussion,resonant,5,44,35,58,10.808859
paperback 2nd edn,paperback,2nd,edn,11,38,212,52,10.805989
ernest wagner nights,ernest,wagner,nights,5,35,26,77,10.798366
facs wmg notes,facs,wmg,notes,21,24,29,531,10.787455
martin luther king,martin,luther,king,31,250,161,453,10.784271
29th october 1647,29th,october,1647,15,18,369,33,10.777608
et al 2003,et,al,2003,359,3545,3446,3065,10.777034
kirtlington golf club,kirtlington,golf,club,9,10,44,199,10.771894
hm treasury emu,hm,treasury,emu,5,41,52,48,10.767339
pl davies gower,pl,davies,gower,8,39,136,51,10.764784
crim lr sept,crim,lr,sept,5,48,81,13,10.757143
le nouvel observateur,le,nouvel,observateur,5,132,5,5,10.757143
femtosecond laser pulses,femtosecond,laser,pulses,13,71,197,102,10.754021
buenos aires friday,buenos,aires,friday,7,78,77,46,10.741266
sir walter raleigh,sir,walter,raleigh,7,145,44,13,10.734106
oxford oxford university,oxford,oxford,university,147,1324,1324,1625,10.723601
19 th century,19,th,century,102,457,930,1587,10.719199
cambridge cambridge university,cambridge,cambridge,university,93,561,561,1625,10.70048
chiang mai initiative,chiang,mai,initiative,5,7,6,135,10.697437
aires saturday 8th,aires,saturday,8th,6,77,53,49,10.686109
adam munich 1972,adam,munich,1972,15,144,43,264,10.674869
graham swifts waterland,graham,swifts,waterland,5,52,35,64,10.668486
vincent hedley bull,vincent,hedley,bull,8,26,57,159,10.666099
medial forebrain bundle,medial,forebrain,bundle,5,47,6,99,10.658963
revision lectures attended,revision,lectures,attended,11,118,111,108,10.647789
pulses palpable jvp,pulses,palpable,jvp,6,102,65,17,10.646363
aires sunday 9th,aires,sunday,9th,6,77,86,21,10.646363
grievous bodily harm,grievous,bodily,harm,12,14,75,282,10.63465
reading comprehension score,reading,comprehension,score,46,916,186,323,10.631778
linden angela carter,linden,angela,carter,5,8,60,87,10.630766
der traum wurde,der,traum,wurde,6,175,6,7,10.615336
samuel scheffler rawls,samuel,scheffler,rawls,6,56,6,127,10.607683
randomised controlled trials,randomised,controlled,trials,26,71,574,176,10.604164
madame de pompadour,madame,de,pompadour,29,50,817,51,10.600593
seton watson italy,seton,watson,italy,9,11,66,211,10.584963
pp163182 ab academic,pp163182,ab,academic,18,18,140,419,10.58246
londoners longman 1956,londoners,longman,1956,5,17,65,79,10.575974
floating charge holders,floating,charge,holders,23,141,543,61,10.567428
kolonychia liver flap,kolonychia,liver,flap,7,9,201,17,10.565769
coca cola bottle,coca,cola,bottle,6,23,23,150,10.555215
acute myocardial infarction,acute,myocardial,infarction,10,230,46,53,10.544947
dr anna syngellakis,dr,anna,syngellakis,6,174,18,6,10.540568
ascites shifting dullness,ascites,shifting,dullness,5,29,121,15,10.540568
contracture kolonychia liver,contracture,kolonychia,liver,7,22,9,201,10.534336
threaded metal rod,threaded,metal,rod,16,22,391,118,10.532394
eighth session 8th,eighth,session,8th,8,25,192,49,10.52968
edward gonzalez cuba,edward,gonzalez,cuba,6,117,16,69,10.511714
roper fernand braudel,roper,fernand,braudel,5,29,31,109,10.506011
nationalism ithaca cornell,nationalism,ithaca,cornell,7,196,17,26,10.491451
buenos aires saturday,buenos,aires,saturday,6,78,77,53,10.469485
wade forsyth administrative,wade,forsyth,administrative,8,41,21,216,10.466021
tale shakespeare 1610,tale,shakespeare,1610,7,129,105,12,10.449803
weak timedependent perturbation,weak,timedependent,perturbation,15,484,23,24,10.439285
van der waals,van,der,waals,12,238,175,13,10.435215
un doc a61,un,doc,a61,8,253,23,8,10.435215
publishers beverley mulvenna,publishers,beverley,mulvenna,6,174,21,18,10.435215
cr app r,cr,app,r,51,132,65,1624,10.426873
feline immunodeficiency virus,feline,immunodeficiency,virus,9,21,22,281,10.415037
theban magical library,theban,magical,library,9,28,149,147,10.415037
wheatstone bridge circuit,wheatstone,bridge,circuit,19,38,285,365,10.406625
mulvenna preimplantation genetic,mulvenna,preimplantation,genetic,18,18,25,611,10.401741
mots pour le,mots,pour,le,5,5,46,132,10.391191
accessed april 2007,accessed,april,2007,31,445,350,341,10.389412
diagnosis tissues typing,diagnosis,tissues,typing,18,472,151,40,10.382022
river thames basin,river,thames,basin,7,180,43,36,10.375509
justices ex parte,justices,ex,parte,9,29,217,89,10.36687
muchlinski holding multinationals,muchlinski,holding,multinationals,9,10,295,30,10.36687
schweilen der traum,schweilen,der,traum,5,8,175,6,10.344648
brian l moore,brian,l,moore,29,84,893,120,10.343596
dubliners harmondsworth penguin,dubliners,harmondsworth,penguin,8,38,32,234,10.337035
clubbing peripheral cyanosis,clubbing,peripheral,cyanosis,7,47,134,86,10.331621
quarterly col 51,quarterly,col,51,7,89,12,166,10.331621
understory vegetation cover,understory,vegetation,cover,23,61,287,530,10.330447
ad hoc committee,ad,hoc,committee,16,254,60,302,10.318176
cm 1dm 3mol,cm,1dm,3mol,6,216,8,7,10.318176
wychwood forest hotel,wychwood,forest,hotel,29,29,312,780,10.312373
arthropathy obstructive sleep,arthropathy,obstructive,sleep,6,7,30,195,10.311944
obstructive sleep apnoea,obstructive,sleep,apnoea,6,30,195,7,10.311944
million man march,million,man,march,79,828,1649,583,10.309427
stanley kubrick 1963,stanley,kubrick,1963,5,50,12,134,10.292181
platinum film thermometer,platinum,film,thermometer,18,48,579,82,10.285246
et al 2004,et,al,2004,256,3545,3446,3131,10.279756
vesicular breath sounds,vesicular,breath,sounds,14,18,173,364,10.275973
31 st march,31,st,march,32,315,381,583,10.264162
buenos aires sunday,buenos,aires,sunday,6,78,77,86,10.257036
morgan slavery atlantic,morgan,slavery,atlantic,18,108,464,152,10.255042
fragmenting modernism ford,fragmenting,modernism,ford,8,8,121,193,10.254046
debates 29th october,debates,29th,october,15,217,18,369,10.253448
sputum tracheal deviation,sputum,tracheal,deviation,7,46,11,226,10.247659
polymerase chain reaction,polymerase,chain,reaction,45,128,520,1178,10.242345
