word_pair,word1,word2,pair_freq,word1_freq,word2_freq,logdice
formica fusca,formica,fusca,35,48,36,13.736966
fusiform gyrus,fusiform,gyrus,10,12,12,13.736966
pleomorphic adenoma,pleomorphic,adenoma,5,7,5,13.736966
guilaine briois,guilaine,briois,5,5,7,13.736966
stadt sucht,stadt,sucht,5,7,5,13.736966
lockyer scholarios,lockyer,scholarios,5,7,5,13.736966
ngaire naffine,ngaire,naffine,5,6,6,13.736966
facs wmg,facs,wmg,22,24,29,13.731511
iliac fossa,iliac,fossa,12,14,15,13.726982
coca cola,coca,cola,19,23,23,13.724366
cystic fibrosis,cystic,fibrosis,54,57,74,13.721465
malleus maleficarum,malleus,maleficarum,7,10,7,13.719892
rowley bae,rowley,bae,9,10,12,13.710493
delirium tremens,delirium,tremens,13,19,13,13.70044
desmond dinan,desmond,dinan,13,15,17,13.70044
ancien régime,ancien,régime,30,36,38,13.697437
ewca civ,ewca,civ,15,20,17,13.697437
vice versa,vice,versa,103,147,108,13.692147
ulcerative colitis,ulcerative,colitis,23,24,33,13.690672
pterostichus madidus,pterostichus,madidus,16,17,23,13.678072
fume cupboard,fume,cupboard,12,15,15,13.678072
kinser annaliste,kinser,annaliste,12,14,16,13.678072
jagels coltman,jagels,coltman,12,14,16,13.678072
trigonal prisms,trigonal,prisms,10,10,15,13.678072
pteridium aquilinum,pteridium,aquilinum,6,9,6,13.678072
1dm 3mol,1dm,3mol,6,8,7,13.678072
sugata bose,sugata,bose,6,7,8,13.678072
bose ayesha,bose,ayesha,6,8,7,13.678072
cleaver sellick,cleaver,sellick,6,9,6,13.678072
cowley manor,cowley,manor,47,54,64,13.671946
linnaeus 1758,linnaeus,1758,7,10,8,13.63743
textuality poeclectics,textuality,poeclectics,7,8,10,13.63743
rotator cuff,rotator,cuff,19,19,30,13.633218
dy 7ni,dy,7ni,12,19,12,13.630766
iec 61508,iec,61508,10,16,10,13.621488
sunkin onk,sunkin,onk,10,16,10,13.621488
acad sci,acad,sci,5,5,8,13.621488
túpac amaru,túpac,amaru,5,6,7,13.621488
83gw 6pole,83gw,6pole,5,7,6,13.621488
meridien dona,meridien,dona,5,7,6,13.621488
aurora plomer,aurora,plomer,5,7,6,13.621488
comits dentreprise,comits,dentreprise,5,7,6,13.621488
woodhouse puritanism,woodhouse,puritanism,18,24,23,13.615336
pcd maltron,pcd,maltron,18,25,22,13.615336
sierra leone,sierra,leone,26,41,27,13.612977
lex mercatoria,lex,mercatoria,21,34,21,13.610958
arturo ui,arturo,ui,24,25,38,13.607683
polycaprolactone triol,polycaprolactone,triol,11,18,11,13.601451
jerry shurman,jerry,shurman,9,15,9,13.584963
sao paulo,sao,paulo,6,6,10,13.584963
kai tak,kai,tak,6,10,6,13.584963
spearmint rhino,spearmint,rhino,6,6,10,13.584963
kyriakou tania,kyriakou,tania,6,8,8,13.584963
república cromañón,república,cromañón,13,21,14,13.571157
prickly pear,prickly,pear,7,8,11,13.559427
jose arcadio,jose,arcadio,7,12,7,13.559427
laissez faire,laissez,faire,7,8,11,13.559427
abu ghraib,abu,ghraib,7,12,7,13.559427
houghton mifflin,houghton,mifflin,11,19,11,13.552541
systech intl,systech,intl,11,16,14,13.552541
pro tanto,pro,tanto,37,64,37,13.551242
holt rinehart,holt,rinehart,15,26,15,13.549339
spinal cord,spinal,cord,24,31,35,13.540568
daniele archibugi,daniele,archibugi,20,23,32,13.540568
haslam fragmenting,haslam,fragmenting,8,14,8,13.540568
timedependent perturbation,timedependent,perturbation,17,23,24,13.532874
tetra laval,tetra,laval,20,35,21,13.514573
valvata macrostoma,valvata,macrostoma,5,9,5,13.514573
selvon sthe,selvon,sthe,5,9,5,13.514573
binsey poplars,binsey,poplars,5,6,8,13.514573
stn lfps,stn,lfps,5,6,8,13.514573
sheila meintjes,sheila,meintjes,5,7,7,13.514573
fdr440 fdr875,fdr440,fdr875,6,8,9,13.4975
wurde zum,wurde,zum,6,7,10,13.4975
baxandall rosalyn,baxandall,rosalyn,6,9,8,13.4975
pricewaterhousecoopers llp,pricewaterhousecoopers,llp,6,9,8,13.4975
olduvai gorge,olduvai,gorge,6,10,7,13.4975
jeffreys 1996b,jeffreys,1996b,6,7,10,13.4975
costa rica,costa,rica,7,13,7,13.485427
artful dodger,artful,dodger,7,7,13,13.485427
poeclectics 20002001,poeclectics,20002001,7,10,10,13.485427
gass selinker,gass,selinker,7,10,10,13.485427
ewing kd,ewing,kd,7,11,9,13.485427
katharina blum,katharina,blum,31,42,47,13.478463
greenberg cheryl,greenberg,cheryl,8,13,10,13.476438
syr darya,syr,darya,8,8,15,13.476438
trainspotting northcote,trainspotting,northcote,9,11,15,13.469485
zvelebil 19943574,zvelebil,19943574,10,19,10,13.463947
shui ta,shui,ta,10,12,17,13.463947
crucian carp,crucian,carp,11,11,21,13.459432
atrial fibrillation,atrial,fibrillation,12,22,14,13.415037
broglie bohm,broglie,bohm,10,16,14,13.415037
bunsen burner,bunsen,burner,9,18,9,13.415037
libation bearers,libation,bearers,9,11,16,13.415037
fdr1 fdr440,fdr1,fdr440,6,10,8,13.415037
meconium ileus,meconium,ileus,6,8,10,13.415037
visuospatial sketchpad,visuospatial,sketchpad,6,11,7,13.415037
hachette livre,hachette,livre,6,12,6,13.415037
tn 917,tn,917,5,7,8,13.415037
festinger schachter,festinger,schachter,5,10,5,13.415037
zum alptraum,zum,alptraum,5,10,5,13.415037
crosssite scripting,crosssite,scripting,5,6,9,13.415037
im6 epoxy,im6,epoxy,5,5,10,13.415037
nemo judex,nemo,judex,5,9,6,13.415037
jayan nayar,jayan,nayar,5,5,10,13.415037
beatson ansons,beatson,ansons,5,7,8,13.415037
santa clara,santa,clara,39,51,67,13.402759
youngs modulus,youngs,modulus,79,86,154,13.39689
depoy gitlin,depoy,gitlin,14,21,22,13.38109
bretton woods,bretton,woods,41,42,84,13.380272
nineteen eightyfour,nineteen,eightyfour,25,52,25,13.37707
