word_pair,word1,word2,observed_freq,word1_freq,word2_freq,expected_freq,mutual_information,t_score,combined_score
brand name,brand,name,56,641,812,0.08159,9.42282,7.472412,0.081731
lord denning,lord,denning,53,507,150,0.011921,12.118241,7.278472,0.081715
third stage,third,stage,60,1086,1593,0.271187,7.789533,7.710957,0.081704
first half,first,half,67,5953,789,0.736267,6.507788,8.095403,0.081697
table 4,table,4,66,1721,2479,0.668775,6.624802,8.041718,0.081648
be obtained,be,obtained,186,56510,1088,9.637774,4.270459,12.931506,0.081609
provides an,provides,an,131,1320,27148,5.617387,4.543524,10.95473,0.081608
implying that,implying,that,80,144,77225,1.743183,5.520204,8.749378,0.081576
share price,share,price,61,1148,1891,0.340295,7.485878,7.766679,0.081562
justice system,justice,system,72,1157,6237,1.13118,5.992097,8.351971,0.081499
armed conflict,armed,conflict,54,200,1046,0.032793,10.685346,7.344007,0.081460
saint fusions,saint,fusions,51,123,54,0.001041,15.580005,7.141283,0.081445
product development,product,development,79,2701,3971,1.681307,5.554198,8.699033,0.081439
discovered that,discovered,that,126,436,77225,5.27797,4.577297,10.754773,0.081395
contributing to,contributing,to,120,169,182356,4.830914,4.634594,10.513451,0.081389
significantly different,significantly,different,69,778,7511,0.916009,6.23509,8.196349,0.081375
an integral,an,integral,71,27148,251,1.068155,6.054627,8.299383,0.081372
portrayed as,portrayed,as,84,201,66042,2.080841,5.335151,8.938113,0.081367
small number,small,number,80,2536,4450,1.769016,5.498981,8.74649,0.081358
dummy variables,dummy,variables,53,101,1099,0.0174,11.572715,7.27772,0.081303
randomised controlled,randomised,controlled,52,71,574,0.006388,12.990767,7.210217,0.081282
offered by,offered,by,95,494,38073,2.948266,5.009989,9.444309,0.081270
previous studies,previous,studies,60,1247,1548,0.302594,7.631436,7.706902,0.081246
environmental factors,environmental,factors,64,1367,2631,0.563783,6.826788,7.929527,0.081244
decided to,decided,to,299,626,182356,17.894392,4.062566,16.256757,0.081216
has resulted,has,resulted,79,19642,555,1.708839,5.530764,8.695935,0.081204
association with,association,with,97,498,39877,3.112966,4.961623,9.532784,0.081191
very large,very,large,91,5807,2911,2.649821,5.1019,9.261615,0.081182
ex p,ex,p,58,217,5794,0.197088,8.201067,7.589894,0.081152
remember that,remember,that,98,264,77225,3.195835,4.938517,9.576667,0.081147
journal of,journal,of,359,586,242534,22.278851,4.010237,17.771463,0.081085
official statistics,official,statistics,53,305,439,0.020989,11.302159,7.277227,0.081080
to gain,to,gain,491,182356,1116,31.901184,3.944041,20.71884,0.081053
sampling grid,sampling,grid,52,287,187,0.008413,12.59362,7.209936,0.081042
not mean,not,mean,143,29845,1409,6.591817,4.439195,11.407025,0.081040
all aspects,all,aspects,84,11812,1147,2.123779,5.305684,8.933428,0.081017
this point,this,point,431,53108,3308,27.538989,3.96814,19.434033,0.081009
east india,east,india,55,910,518,0.073891,9.53981,7.406235,0.081007
understand how,understand,how,74,1358,6298,1.34068,5.786489,8.446474,0.081000
natural justice,natural,justice,60,1774,1157,0.321743,7.542909,7.70443,0.080977
to participate,to,participate,143,182356,231,6.603202,4.436706,11.406073,0.080968
drag coefficient,drag,coefficient,53,323,455,0.023038,11.167789,7.276945,0.080963
must have,must,have,302,4679,24793,18.184639,4.053756,16.331739,0.080913
problem solving,problem,solving,55,2650,187,0.07768,9.46767,7.405724,0.080904
public sphere,public,sphere,56,2337,318,0.116495,8.909011,7.467747,0.080896
unlikely that,unlikely,that,138,516,77225,6.246405,4.465498,11.215611,0.080884
different levels,different,levels,87,7511,2019,2.37715,5.19371,9.072522,0.080871
prone to,prone,to,95,105,182356,3.001455,4.984193,9.438852,0.080864
achieved through,achieved,through,70,997,6703,1.047579,6.062223,8.241391,0.080840
new product,new,product,98,7653,2701,3.240252,4.918604,9.57218,0.080813
i do,i,do,163,10283,5025,8.099877,4.330828,12.132714,0.080810
serve as,serve,as,100,328,66042,3.395601,4.880189,9.66044,0.080804
claiming that,claiming,that,86,191,77225,2.312138,5.217037,9.024294,0.080764
small scale,small,scale,61,2536,1018,0.404687,7.235858,7.758435,0.080716
comment on,comment,on,70,188,36051,1.062424,6.041924,8.239616,0.080699
food products,food,products,68,2673,2178,0.912598,6.219412,8.135543,0.080664
is clear,is,clear,498,107360,1934,32.547791,3.935514,20.857412,0.080661
owned by,owned,by,70,179,38073,1.068299,6.033968,8.238914,0.080644
wild type,wild,type,55,322,1747,0.08818,9.28476,7.404308,0.080631
been used,been,used,293,12665,8869,17.607691,4.056623,16.088591,0.080590
certain degree,certain,degree,61,2469,1075,0.416056,7.195887,7.756979,0.080573
many aspects,many,aspects,72,6858,1147,1.233058,5.867685,8.339964,0.080560
without having,without,having,68,2846,2070,0.923481,6.202309,8.134223,0.080557
conform to,conform,to,110,147,182356,4.202038,4.710271,10.08744,0.080506
keen to,keen,to,107,139,182356,3.973355,4.751109,9.959962,0.080505
melting point,melting,point,54,115,3308,0.059633,9.822635,7.340354,0.080478
are unable,are,unable,104,41040,584,3.757013,4.790853,9.829634,0.080407
more flexible,more,flexible,69,17191,378,1.018628,6.081898,8.183995,0.080381
other areas,other,areas,103,11378,2069,3.690192,4.802805,9.785286,0.080334
i dont,i,dont,63,10283,357,0.575454,6.774507,7.864754,0.080316
reluctant to,reluctant,to,97,113,182356,3.230138,4.908317,9.520887,0.080307
perceived as,perceived,as,137,605,66042,6.263227,4.451126,11.169596,0.080294
years later,years,later,65,3179,1455,0.725064,6.486188,7.972325,0.080275
responding to,responding,to,101,124,182356,3.544576,4.832598,9.697177,0.080271
april 2007,april,2007,52,350,341,0.018709,11.440582,7.208508,0.080222
age group,age,group,70,1870,3807,1.115956,5.971003,8.233218,0.080197
mass media,mass,media,56,1243,775,0.151006,8.534673,7.463136,0.080194
supreme court,supreme,court,52,126,972,0.019198,11.403329,7.20844,0.080191
ford madox,ford,madox,50,193,50,0.001513,15.012524,7.070854,0.080182
organic matter,organic,matter,56,966,1004,0.152031,8.524913,7.462999,0.080175
to generate,to,generate,216,182356,423,12.091578,4.158957,13.874211,0.080159
for each,for,each,764,53993,6186,52.356418,3.867134,25.746361,0.080158
food industry,food,industry,65,2673,1760,0.737453,6.461745,7.970788,0.080146
single market,single,market,68,1405,4389,0.966639,6.136413,8.128989,0.080138
control group,control,group,83,3613,3807,2.156122,5.2666,8.873768,0.080113
far greater,far,greater,63,1766,2146,0.594077,6.728557,7.862407,0.080108
i hope,i,hope,62,10283,326,0.525485,6.882476,7.807271,0.080079
but instead,but,instead,95,14650,1353,3.10712,4.934278,9.428011,0.080061
shown in,shown,in,874,2777,139145,60.57118,3.85093,27.51464,0.080056
external environment,external,environment,59,979,2140,0.328412,7.489064,7.63839,0.080036
than just,than,just,115,10745,2764,4.655507,4.626552,10.289677,0.079989
had previously,had,previously,72,9250,894,1.296289,5.795538,8.332512,0.079987
to ascertain,to,ascertain,96,182356,112,3.201553,4.906191,9.471202,0.079937
indication of,indication,of,206,300,242534,11.405555,4.174836,13.558037,0.079925
equation 3,equation,3,66,1453,3668,0.835444,6.303779,8.021202,0.079917
ad hoc,ad,hoc,50,254,60,0.002389,14.353262,7.07073,0.079912
gender relations,gender,relations,58,1356,1301,0.276541,7.712416,7.579461,0.079906
growth rates,growth,rates,60,2488,1035,0.403658,7.215686,7.693855,0.079896
3rd edition,3rd,edition,51,122,507,0.009696,12.360827,7.140071,0.079890
back into,back,into,82,1488,9028,2.1058,5.283184,8.822838,0.079876
public interest,public,interest,64,2337,1893,0.693477,6.528081,7.913315,0.079826
environmental impact,environmental,impact,59,1367,1608,0.34457,7.419775,7.636287,0.079818
polity press,polity,press,52,110,1527,0.02633,10.947577,7.207451,0.079800
mainly due,mainly,due,65,919,5370,0.773593,6.392722,7.966305,0.079773
common sense,common,sense,64,2299,1946,0.701301,6.511895,7.912337,0.079743
money laundering,money,laundering,51,1269,57,0.011339,12.13504,7.139841,0.079742
supposed to,supposed,to,145,243,182356,6.946226,4.38368,11.464742,0.079733
depends upon,depends,upon,57,606,2424,0.230265,7.951523,7.519335,0.079729
intended to,intended,to,221,439,182356,12.548942,4.138409,14.021936,0.079693
financial crisis,financial,crisis,56,1651,693,0.179351,8.2865,7.459348,0.079678
decide whether,decide,whether,56,380,3022,0.180012,8.281193,7.45926,0.079666
balance sheet,balance,sheet,52,783,243,0.029826,10.76774,7.206966,0.079633
compete with,compete,with,72,214,39877,1.3377,5.75017,8.327632,0.079616
been developed,been,developed,96,12665,1636,3.247963,4.885427,9.466465,0.079587
detailed analysis,detailed,analysis,58,571,3338,0.298776,7.600847,7.576542,0.079587
driving force,driving,force,53,206,1796,0.057996,9.83583,7.272144,0.079569
risk factors,risk,factors,64,1741,2631,0.718029,6.477885,7.910246,0.079568
very well,very,well,111,5807,4848,4.413031,4.652646,10.116787,0.079548
one hundred,one,hundred,60,12957,215,0.436682,7.102235,7.689591,0.079487
immune system,immune,system,55,144,6237,0.140786,8.60978,7.397215,0.079478
most suitable,most,suitable,66,7094,792,0.880722,6.227635,8.015629,0.079467
bohr model,bohr,model,54,160,3909,0.098041,9.105357,7.335128,0.079456
english language,english,language,66,1692,3330,0.883216,6.223555,8.015322,0.079442
may also,may,also,432,10856,16522,28.116095,3.941563,19.431873,0.079386
crohns disease,crohns,disease,51,76,1357,0.016166,11.623274,7.139165,0.079377
new ideas,new,ideas,79,7653,1607,1.927836,5.356798,8.671296,0.079368
perfection hotels,perfection,hotels,50,95,359,0.005346,13.191142,7.070312,0.079356
app r,app,r,51,65,1624,0.016547,11.589703,7.139111,0.079351
would like,would,like,155,14413,3431,7.751712,4.321609,11.827267,0.079347
to examine,to,examine,296,182356,634,18.123074,4.029698,16.151268,0.079342
very hard,very,hard,65,5807,897,0.81652,6.314808,7.960981,0.079338
turning point,turning,point,54,199,3308,0.103191,9.031501,7.334427,0.079338
into three,into,three,113,9028,3251,4.600776,4.618302,10.197341,0.079303
extremely difficult,extremely,difficult,56,699,1840,0.201613,8.117698,7.456373,0.079299
not merely,not,merely,95,29845,686,3.209359,4.887571,9.417521,0.079287
1995 p,1995,p,71,1427,5794,1.29606,5.775615,8.272336,0.079274
illustrated by,illustrated,by,86,419,38073,2.500654,5.103959,9.003966,0.079265
new zealand,new,zealand,53,7653,57,0.06838,9.598202,7.270717,0.079263
improve their,improve,their,92,1021,18599,2.976719,4.949839,9.281319,0.079262
health problems,health,problems,67,2495,2507,0.9805,6.0945,8.065566,0.079255
ei techniques,ei,techniques,51,119,985,0.018374,11.438609,7.138856,0.079234
will remain,will,remain,82,17495,798,2.188464,5.227633,8.81371,0.079205
areas where,areas,where,82,2069,6752,2.189856,5.226716,8.813556,0.079194
an item,an,item,67,27148,232,0.987298,6.084531,8.064735,0.079190
to manage,to,manage,173,182356,319,9.118708,4.245799,12.459664,0.079151
he believed,he,believed,73,10554,891,1.474067,5.630022,8.371477,0.079120
is impossible,is,impossible,187,107360,604,10.164874,4.201374,12.931465,0.079084
project team,project,team,60,2648,1134,0.47071,6.99398,7.685198,0.079077
