word_pair,word1,word2,observed_freq,word1_freq,word2_freq,expected_freq,mutual_information,t_score,combined_score
et al,et,al,3383,3545,3446,1.914935,10.786792,58.130639,0.460520
rather than,rather,than,2200,3113,10745,5.243341,8.712801,46.792369,0.351729
has been,has,been,4755,19642,12665,38.995406,6.929997,68.391001,0.322947
carried out,carried,out,1078,1233,6266,1.211089,9.797837,32.796024,0.311884
does not,does,not,3104,4752,29845,22.231592,7.125373,55.314519,0.311284
university press,university,press,818,1625,1527,0.388969,11.03823,28.587099,0.301524
have been,have,been,4579,24793,12665,49.221724,6.539594,66.940912,0.297703
based on,based,on,2237,3108,36051,17.563897,6.992808,46.925581,0.286470
did not,did,not,1773,2968,29845,13.885388,6.996481,41.777242,0.273189
new york,new,york,708,7653,740,0.88774,9.639396,26.574906,0.268347
for example,for,example,3305,53993,5285,44.730628,6.207243,56.711058,0.264297
can be,can,be,10317,22213,56510,196.768272,5.712382,99.635417,0.263412
such as,such,as,6832,12217,66042,126.475772,5.755375,81.125765,0.257108
other hand,other,hand,848,11378,1773,3.162257,8.066966,29.011847,0.255646
do not,do,not,2030,5025,29845,23.508786,6.432136,44.533748,0.255172
at least,at,least,919,21726,1278,4.352444,7.722095,30.171439,0.253459
no longer,no,longer,705,8943,1204,1.687844,8.706298,26.488268,0.253297
relationship between,relationship,between,867,2286,10907,3.908446,7.793293,29.312126,0.250955
associated with,associated,with,1269,1661,39877,10.382804,6.933352,35.331563,0.250948
their own,their,own,1221,18599,3276,9.551158,6.998172,34.669474,0.250909
united states,united,states,550,969,3382,0.513712,10.064255,23.430174,0.249745
even though,even,though,621,4643,1986,1.445441,8.746939,24.861868,0.243288
human rights,human,rights,569,3551,1926,1.072086,9.051865,23.808777,0.240358
into account,into,account,671,9028,1762,2.493561,8.071961,25.807405,0.237703
as well,as,well,2849,66042,4848,50.188634,5.826951,52.43574,0.235937
should be,should,be,3472,7469,56510,66.162258,5.713615,57.800833,0.235156
those who,those,who,770,4353,6959,4.748518,7.341237,27.577749,0.231457
this essay,this,essay,1197,53108,1734,14.435492,6.373659,34.180449,0.226586
op cit,op,cit,335,353,354,0.019588,14.061869,18.301935,0.225388
i am,i,am,456,10283,540,0.870435,9.033082,21.313395,0.221339
long term,long,term,425,2333,1630,0.596108,9.477674,20.586613,0.220250
oxford university,oxford,university,393,1324,1625,0.337259,10.186455,19.807215,0.219826
looking at,looking,at,625,1060,21726,3.610008,7.43571,24.8556,0.219512
be seen,be,seen,1933,56510,3971,35.176105,5.780102,43.165819,0.219490
must be,must,be,2159,4679,56510,41.447744,5.702926,45.573021,0.219068
look at,look,at,662,1297,21726,4.417152,7.227571,25.557683,0.218638
th century,th,century,364,930,1587,0.231357,10.619603,19.066658,0.216173
well as,well,as,2387,4848,66042,50.188634,5.571694,47.829677,0.214565
difference between,difference,between,556,1695,10907,2.897995,7.583886,23.45675,0.214474
could be,could,be,3353,9051,56510,80.176007,5.386138,56.520484,0.212106
there are,there,are,4120,16114,41040,103.665264,5.31264,62.572181,0.211841
for instance,for,instance,775,53993,984,8.328276,6.540035,27.539661,0.209448
had been,had,been,1162,9250,12665,18.364093,5.983579,33.549397,0.208975
each other,each,other,862,6186,11378,11.033121,6.287775,28.984047,0.206746
focus on,focus,on,756,1553,36051,8.776297,6.42863,27.176263,0.204605
see appendix,see,appendix,384,4229,1584,1.050063,8.514486,19.542332,0.201443
ibid p,ibid,p,442,2254,5794,2.047175,7.754268,20.926422,0.201356
caused by,caused,by,695,1324,38073,7.901829,6.458683,26.063119,0.201003
responsible for,responsible,for,639,770,53993,6.517045,6.615454,25.020639,0.200849
depending on,depending,on,478,529,36051,2.989479,7.320973,21.726476,0.199168
less than,less,than,583,3266,10745,5.501044,6.727647,23.917563,0.198523
due to,due,to,5175,5370,182356,153.503009,5.07522,69.803634,0.198291
fact that,fact,that,1848,3539,77225,42.841141,5.430824,41.991795,0.198210
set up,set,up,443,2980,5131,2.39685,7.530023,20.933687,0.197820
away from,away,from,535,1033,27649,4.477157,6.900812,22.936503,0.197562
per cent,per,cent,276,1936,281,0.085277,11.660216,16.608115,0.196954
developing countries,developing,countries,321,1086,2818,0.479726,9.386147,17.889697,0.195940
hong kong,hong,kong,246,273,254,0.01087,14.466054,15.683694,0.195743
suggests that,suggests,that,1164,1877,77225,22.721905,5.678863,33.451453,0.195289
more than,more,than,1361,17191,10745,28.955436,5.554689,36.106857,0.194936
will be,will,be,5086,17495,56510,154.975056,5.036424,69.143128,0.194891
argued that,argued,that,914,1276,77225,15.446537,5.886839,29.721507,0.194433
more likely,more,likely,585,17191,2392,6.445919,6.503907,23.920267,0.192868
cannot be,cannot,be,1106,2455,56510,21.747,5.668391,32.602663,0.192833
not necessarily,not,necessarily,446,29845,651,3.045616,7.194166,20.974498,0.192268
its own,its,own,575,12235,3276,6.283049,6.515953,23.717136,0.192238
able to,able,to,3015,3071,182356,87.785426,5.102033,53.310272,0.189663
most important,most,important,543,7094,5357,5.957107,6.510197,23.046716,0.188917
argue that,argue,that,741,963,77225,11.657536,5.990139,26.793065,0.188905
argues that,argues,that,804,1130,77225,13.679144,5.877146,27.872468,0.188435
points out,points,out,352,1445,6266,1.419322,7.95423,18.686013,0.188121
carry out,carry,out,298,532,6266,0.522546,9.155538,17.232406,0.188106
in order,in,order,4310,139145,6233,135.952526,4.986513,63.57974,0.188045
we can,we,can,1706,12541,22213,43.667862,5.287902,40.246516,0.187434
al 2003,al,2003,360,3446,3065,1.655649,7.764456,18.886406,0.187167
nineteenth century,nineteenth,century,243,266,1587,0.066173,11.842425,15.584212,0.186420
same time,same,time,554,4867,8800,6.713772,6.366619,23.251964,0.186186
depends on,depends,on,432,606,36051,3.424621,6.978943,20.619843,0.186138
would be,would,be,3987,14413,56510,127.673935,4.964768,61.120705,0.184970
according to,according,to,2349,2372,182356,67.804308,5.114526,47.067489,0.184874
may be,may,be,3113,10856,56510,96.165145,5.016648,54.070698,0.184176
working class,working,class,289,1733,2334,0.634048,8.832262,16.962703,0.183000
concerned with,concerned,with,486,891,39877,5.569584,6.447243,21.792766,0.181236
decision making,decision,making,272,1483,2058,0.47842,9.151114,16.463414,0.180990
apart from,apart,from,354,481,27649,2.084717,7.407754,18.704086,0.180893
figure 1,figure,1,389,3091,6136,2.973082,7.031667,19.572342,0.180677
european union,european,union,255,1974,915,0.283133,9.814801,15.950989,0.180516
along with,along,with,524,1092,39877,6.826022,6.262378,22.59285,0.180416
take place,take,place,305,2843,2502,1.11503,8.095582,17.400403,0.179679
market share,market,share,282,4389,1148,0.789823,8.479949,16.745822,0.177989
they are,they,are,3446,17845,41040,114.801207,4.907713,56.747001,0.177988
distinction between,distinction,between,290,560,10907,0.95745,8.242641,16.973163,0.177672
be considered,be,considered,905,56510,2258,20.001925,5.499707,29.418331,0.177603
an important,an,important,975,27148,5357,22.797228,5.418472,30.494894,0.176537
health care,health,care,265,2495,1516,0.592915,8.803952,16.242398,0.176269
greater than,greater,than,392,2146,10745,3.614587,6.760879,19.616426,0.176038
emphasis on,emphasis,on,392,640,36051,3.616761,6.760011,19.616316,0.176021
his own,his,own,474,12036,3276,6.180856,6.260937,21.487645,0.175192
exchange rate,exchange,rate,257,1040,3189,0.519889,8.94935,15.99879,0.175145
international relations,international,relations,262,3029,1301,0.617731,8.728373,16.148251,0.174806
table 1,table,1,312,1721,6136,1.655346,7.558269,17.569806,0.174725
i think,i,think,310,10283,1005,1.619975,7.580152,17.514808,0.174587
essay will,essay,will,424,1734,17495,4.755384,6.478359,20.360318,0.174515
suggest that,suggest,that,744,1288,77225,15.591803,5.576443,26.70474,0.173421
be able,be,able,1066,56510,3071,27.203681,5.292262,31.816456,0.173353
would have,would,have,1828,14413,24793,56.015216,5.028303,41.444976,0.173271
middle class,middle,class,234,822,2334,0.300743,9.603763,15.277398,0.172506
not only,not,only,1589,29845,10142,47.447981,5.065629,38.671965,0.172160
impact on,impact,on,545,1608,36051,9.087113,5.90629,22.955986,0.171906
even if,even,if,508,4643,10823,7.877146,6.011012,22.189364,0.171771
i feel,i,feel,320,10283,1326,2.137401,7.226071,17.769059,0.171705
i believe,i,believe,312,10283,1217,1.961702,7.313297,17.552462,0.171373
it seems,it,seems,771,49011,2246,17.255433,5.481608,27.145448,0.170876
in addition,in,addition,1211,139145,1546,33.720938,5.16641,33.830417,0.170616
north america,north,america,214,948,997,0.148158,10.496255,14.618611,0.170200
a lot,a,lot,701,127246,753,15.019714,5.544485,25.909118,0.169817
supported by,supported,by,366,616,38073,3.67638,6.637414,18.938959,0.169668
divided into,divided,into,255,569,9028,0.805242,8.306859,15.918293,0.169204
pointed out,pointed,out,223,280,6266,0.275024,9.663269,14.914768,0.169169
differences between,differences,between,321,1437,10907,2.456884,7.0296,17.779343,0.168885
wide range,wide,range,212,626,1804,0.177025,10.225899,14.548062,0.168205
affected by,affected,by,428,990,38073,5.908467,6.178683,20.402564,0.167872
derived from,derived,from,303,489,27649,2.11939,7.159525,17.285139,0.167327
known as,known,as,804,1890,66042,19.566114,5.360766,27.66485,0.167155
followed by,followed,by,376,729,38073,4.350781,6.433315,19.166345,0.166987
influenced by,influenced,by,344,563,38073,3.360068,6.677774,18.366074,0.166918
other words,other,words,341,11378,1849,3.297808,6.69212,18.287599,0.166684
short term,short,term,217,1153,1630,0.294605,9.5247,14.710921,0.166312
figure 2,figure,2,318,3091,5492,2.661044,6.900891,17.683331,0.166249
economic growth,economic,growth,272,3646,2488,1.421967,7.579575,16.406203,0.166013
east asian,east,asian,193,910,453,0.064619,11.544348,13.887793,0.165992
new deal,new,deal,257,7653,911,1.09288,7.877489,15.963048,0.165572
cited in,cited,in,1033,1326,139145,28.922357,5.158511,31.24044,0.165521
r v,r,v,225,1624,1864,0.47452,8.889241,14.968365,0.164945
information about,information,about,340,3662,6335,3.636533,6.546827,18.24187,0.163786
once again,once,again,221,1679,1797,0.472957,8.868123,14.834254,0.163507
too much,too,much,258,1977,4158,1.288587,7.645437,15.982154,0.163336
interest rate,interest,rate,242,1893,3189,0.946297,7.998498,15.495519,0.162744
effect on,effect,on,685,2914,36051,16.467566,5.378405,25.543311,0.162217
rely on,rely,on,284,379,36051,2.141801,7.050923,16.725207,0.161805
may have,may,have,1321,10856,24793,42.19116,4.968546,35.18473,0.161665
in terms,in,terms,1728,139145,2713,59.175229,4.867966,40.145685,0.161591
great deal,great,deal,205,2103,911,0.300317,9.414921,14.296846,0.161464
interest rates,interest,rates,205,1893,1035,0.307124,9.382588,14.296371,0.161281
dealing with,dealing,with,284,374,39877,2.33785,6.924565,16.713574,0.159945
looked at,looked,at,258,481,21726,1.638126,7.299181,15.960393,0.159266
we know,we,know,292,12541,1357,2.667685,6.774236,16.931893,0.159220
al 2004,al,2004,257,3446,3131,1.691301,7.247491,15.925719,0.158381
dependent on,dependent,on,308,583,36051,3.294643,6.546664,17.362199,0.158334
most likely,most,likely,288,7094,2392,2.659959,6.758521,16.813823,0.158177
competitive advantage,competitive,advantage,181,776,891,0.108383,10.705633,13.445568,0.158024
regarded as,regarded,as,356,487,66042,5.041639,6.141841,18.600756,0.157722
appendix 1,appendix,1,249,1584,6136,1.523572,7.352544,15.683181,0.157713
cold war,cold,war,186,469,2356,0.173209,10.068572,13.625481,0.157514
world bank,world,bank,208,5090,662,0.5282,8.621284,14.385581,0.157510
figure 3,figure,3,257,3091,3668,1.77726,7.17597,15.920357,0.157471
deal with,deal,with,373,911,39877,5.694602,6.033437,19.018353,0.157468
i will,i,will,937,10283,17495,28.200469,5.054258,29.689187,0.157260
much more,much,more,515,4158,17191,11.204905,5.52237,22.199864,0.156834
per capita,per,capita,170,1936,171,0.051895,11.677657,13.034425,0.156335
taken into,taken,into,306,2485,9028,3.516742,6.443148,17.291817,0.156083
but also,but,also,1147,14650,16522,37.942225,4.917917,32.747071,0.155185
they were,they,were,1399,17845,17515,48.994716,4.835626,36.093302,0.154903
web site,web,site,177,597,1486,0.139064,10.313781,13.293682,0.154841
member states,member,states,193,730,3382,0.387007,8.962025,13.864587,0.154506
civil war,civil,war,184,694,2356,0.256305,9.487628,13.545765,0.154000
i shall,i,shall,227,10283,759,1.223444,7.5356,14.985316,0.153975
as opposed,as,opposed,329,66042,454,4.700008,6.12928,17.879237,0.153505
might be,might,be,680,2118,56510,18.76177,5.179667,25.357329,0.153468
an increase,an,increase,589,27148,3539,15.060554,5.289421,23.648763,0.153202
annual report,annual,report,173,498,1734,0.135363,10.31972,13.142655,0.153167
correlation between,correlation,between,212,519,10907,0.887351,7.900344,14.499276,0.153111
as follows,as,follows,424,66042,813,8.416535,5.654694,20.182517,0.153076
let us,let,us,189,656,3681,0.378523,8.96379,13.720194,0.153053
twentieth century,twentieth,century,162,177,1587,0.044032,11.845139,12.724463,0.153051
mentioned above,mentioned,above,191,989,2743,0.42525,8.811045,13.789505,0.152861
determined by,determined,by,347,918,38073,5.478761,5.984942,18.333821,0.152823
depend on,depend,on,242,315,36051,1.780125,7.086885,15.441918,0.152722
years ago,years,ago,172,3179,277,0.138036,10.283147,13.104352,0.152597
al 2002,al,2002,228,3446,2662,1.437957,7.30887,15.004438,0.151789
world war,world,war,242,5090,2356,1.879817,7.008271,15.43551,0.151712
seen as,seen,as,1182,3971,66042,41.109543,4.845613,33.184495,0.151671
focuses on,focuses,on,239,319,36051,1.802729,7.050684,15.343016,0.151524
al 2001,al,2001,227,3446,2708,1.462805,7.277811,14.969429,0.151171
believe that,believe,that,568,1217,77225,14.732317,5.268835,23.214596,0.151105
so far,so,far,266,9988,1766,2.764979,6.588014,16.139975,0.150989
control over,control,over,277,3613,5590,3.165937,6.451109,16.453094,0.150893
ibid pp,ibid,pp,180,2254,877,0.309868,9.18213,13.393312,0.150866
people who,people,who,374,6297,6959,6.869151,5.766763,18.983884,0.150780
early modern,early,modern,191,1920,1828,0.550174,8.439469,13.780466,0.150436
recent years,recent,years,191,1114,3179,0.555135,8.426519,13.780107,0.150347
al 2005,al,2005,225,3446,2843,1.535729,7.194857,14.897618,0.149689
higher than,higher,than,315,2851,10745,4.802045,6.035559,17.477675,0.149319
an attempt,an,attempt,295,27148,968,4.119417,6.162131,16.935722,0.148747
east asia,east,asia,157,910,509,0.072608,11.078358,12.524169,0.148539
appendix 2,appendix,2,216,1584,5492,1.363667,7.307396,14.604153,0.148494
insight into,insight,into,180,296,9028,0.418896,8.74719,13.385185,0.148414
tend to,tend,to,673,700,182356,20.009703,5.071835,25.170926,0.148304
latin america,latin,america,154,352,997,0.055012,11.450887,12.405241,0.148152
co 2,co,2,176,425,5492,0.365883,8.909978,13.23892,0.147828
there is,there,is,5950,16114,107360,271.186715,4.455531,73.620558,0.147728
with respect,with,respect,315,39877,812,5.07576,5.955584,17.462253,0.147538
see figure,see,figure,233,4229,3091,2.049082,6.829209,15.130098,0.147158
united kingdom,united,kingdom,148,969,210,0.031898,12.179836,12.162903,0.146947
cash flow,cash,flow,160,562,1599,0.140866,10.149529,12.637974,0.146829
resulted in,resulted,in,481,555,139145,12.105511,5.312301,21.379748,0.146794
judicial review,judicial,review,151,311,1118,0.054504,11.435911,12.28377,0.146643
oxford oxford,oxford,oxford,168,1324,1324,0.274788,9.255924,12.940281,0.146445
if we,if,we,688,10823,12541,21.276607,5.015069,25.418591,0.146344
very important,very,important,305,5807,5357,4.876363,5.96686,17.185029,0.146259
common law,common,law,211,2299,3898,1.404764,7.230771,14.429131,0.146258
link between,link,between,196,560,10907,0.95745,7.677442,13.931611,0.146154
order to,order,to,3982,6233,182356,178.172114,4.48215,60.279582,0.145921
criminal justice,criminal,justice,157,709,1157,0.128589,10.253787,12.519702,0.145852
shown below,shown,below,187,2777,1688,0.734803,7.991465,13.62106,0.145787
al 2000,al,2000,208,3446,2523,1.362872,7.25379,14.327707,0.145654
human beings,human,beings,156,3551,223,0.12413,10.295474,12.480058,0.145542
means that,means,that,1019,3034,77225,36.727895,4.794134,30.77122,0.145183
be used,be,used,1908,56510,8869,78.563805,4.602053,41.882065,0.145173
focused on,focused,on,234,410,36051,2.316988,6.658114,15.145592,0.145019
how much,how,much,280,6298,4158,4.104967,6.091912,16.487882,0.144755
figure 4,figure,4,200,3091,2479,1.201152,7.379437,14.057201,0.144597
put forward,put,forward,152,1306,495,0.101338,10.550685,12.320608,0.144536
trade unions,trade,unions,154,2268,356,0.126566,10.24883,12.399475,0.144455
different types,different,types,208,7511,1250,1.471737,7.142919,14.320158,0.144447
far more,far,more,295,1766,17191,4.758986,5.953917,16.898485,0.144395
meant that,meant,that,418,823,77225,9.962775,5.390812,19.957753,0.144237
because they,because,they,618,6749,17845,18.87898,5.032754,24.100182,0.143933
into consideration,into,consideration,194,9028,762,1.078373,7.491056,13.850966,0.143828
cambridge university,cambridge,university,154,561,1625,0.142902,10.073687,12.398158,0.143827
unable to,unable,to,567,584,182356,16.693809,5.085964,23.110688,0.143562
suggested that,suggested,that,502,1148,77225,13.897041,5.174838,21.785101,0.143154
trying to,trying,to,588,623,182356,17.808636,5.045167,23.514296,0.142953
strain gauges,strain,gauges,138,591,208,0.01927,12.806052,11.7457,0.142937
to ensure,to,ensure,981,182356,1259,35.98888,4.76863,30.171883,0.142829
very little,very,little,207,5807,1757,1.59936,7.015993,14.276331,0.142732
labour market,labour,market,197,1839,4389,1.265231,7.282651,13.945525,0.142723
high level,high,level,236,4544,3770,2.685358,6.457529,15.18749,0.142485
aimed at,aimed,at,195,360,21726,1.226041,7.313324,13.876441,0.142425
mental health,mental,health,158,678,2495,0.265169,9.218797,12.548709,0.142067
null hypothesis,null,hypothesis,137,205,726,0.02333,12.519708,11.702707,0.141850
contact with,contact,with,281,732,39877,4.575685,5.940439,16.490092,0.141812
long run,long,run,161,2333,917,0.335356,8.90715,12.662148,0.141801
her husband,her,husband,163,6831,362,0.387628,8.715983,12.736784,0.141598
an alternative,an,alternative,253,27148,818,3.481078,6.18346,15.68712,0.141473
focusing on,focusing,on,200,263,36051,1.486263,7.072167,14.037041,0.141384
be argued,be,argued,434,56510,1276,11.303125,5.262901,20.290099,0.141302
his wife,his,wife,179,12036,437,0.824491,7.762239,13.317463,0.141238
these two,these,two,542,13011,7953,16.220499,5.062403,22.584163,0.141140
lead to,lead,to,1155,1584,182356,45.2791,4.672904,32.652976,0.140651
al 1998,al,1998,182,3446,1818,0.982046,7.533933,13.417943,0.140346
it is,it,is,16294,49011,107360,824.818922,4.30412,121.186284,0.140323
took place,took,place,155,726,2502,0.284739,9.088414,12.427029,0.140161
say that,say,that,483,1151,77225,13.933358,5.115408,21.343271,0.139550
we have,we,have,1214,12541,24793,48.739806,4.638524,33.443642,0.139484
attempt to,attempt,to,775,968,182356,27.670561,4.807773,26.844866,0.139298
boundary layer,boundary,layer,134,386,545,0.032977,11.988501,11.572988,0.139148
number of,number,of,3608,4450,242534,169.182403,4.414548,57.250051,0.139126
with regard,with,regard,241,39877,537,3.356752,6.165823,15.307947,0.138741
most common,most,common,221,7094,2299,2.556541,6.43371,14.694097,0.138672
refers to,refers,to,539,586,182356,16.75098,5.007968,22.494858,0.138670
has become,has,become,333,19642,2389,7.355707,5.500514,17.845197,0.138564
concluded that,concluded,that,266,369,77225,4.466906,5.896006,16.035623,0.138316
magnetic field,magnetic,field,136,282,1372,0.060649,11.130828,11.656703,0.138236
made up,made,up,244,4463,5131,3.589645,6.086896,15.390696,0.137935
reason for,reason,for,502,1805,53993,15.27697,5.038257,21.723512,0.137719
same way,same,way,255,4867,5357,4.087009,5.963308,15.712781,0.137703
international law,international,law,200,3029,3898,1.850818,6.755693,14.011263,0.137696
takes place,takes,place,154,959,2502,0.376122,8.677515,12.379365,0.137673
shows that,shows,that,900,2836,77225,34.331019,4.71234,28.855633,0.137633
believed that,believed,that,404,891,77225,10.785944,5.227131,19.56313,0.137490
table 2,table,2,189,1721,5492,1.48161,6.995077,13.639956,0.137310
not always,not,always,340,29845,1696,7.934508,5.42125,18.00878,0.137144
to achieve,to,achieve,815,182356,1064,30.414749,4.743957,27.482823,0.137104
make sure,make,sure,145,3711,395,0.229779,9.301589,12.022512,0.136662
indicates that,indicates,that,368,769,77225,9.309081,5.304923,18.698057,0.136648
an example,an,example,646,27148,5285,22.490825,4.844126,24.53164,0.136409
important role,important,role,212,5357,2944,2.472191,6.42213,14.390429,0.136336
lack of,lack,of,1443,1631,242534,62.008202,4.540468,36.35448,0.136158
take into,take,into,248,2843,9028,4.023379,5.945789,15.492531,0.136049
consistent with,consistent,with,242,604,39877,3.775565,6.002171,15.313647,0.135970
more efficient,more,efficient,199,17191,741,1.996834,6.63891,13.965184,0.135956
over time,over,time,330,5590,8800,7.711112,5.419383,17.741419,0.135914
a single,a,single,755,127246,1405,28.024832,4.751699,26.457335,0.135687
gap between,gap,between,161,404,10907,0.690731,7.86472,12.63414,0.135495
implies that,implies,that,296,516,77225,6.246405,5.566427,16.841586,0.135456
tourism industry,tourism,industry,144,950,1760,0.262095,9.101763,11.978159,0.135343
this experiment,this,experiment,430,53108,1502,12.5041,5.103864,20.13344,0.135247
be done,be,done,427,56510,1396,12.366115,5.109772,20.06554,0.135232
structural adjustment,structural,adjustment,128,729,349,0.039882,11.648123,11.310183,0.135133
accordance with,accordance,with,176,196,39877,1.225183,7.166434,13.174147,0.135003
social responsibility,social,responsibility,167,6473,905,0.918283,7.506693,12.851789,0.134970
large number,large,number,197,2911,4450,2.030602,6.600144,13.890994,0.134917
compared with,compared,with,382,1659,39877,10.370302,5.203043,19.014229,0.134678
straight line,straight,line,133,335,1968,0.103346,10.329732,11.523601,0.134473
more accurate,more,accurate,204,17191,878,2.366019,6.429964,14.117202,0.134453
be achieved,be,achieved,347,56510,997,8.831674,5.296105,18.153827,0.134179
they do,they,do,456,17845,5025,14.056434,5.019731,20.695904,0.133939
i have,i,have,980,10283,24793,39.964231,4.616001,30.028341,0.133802
better than,better,than,226,2041,10745,3.437732,6.038722,14.804622,0.133371
marketing mix,marketing,mix,126,1081,314,0.053208,11.20949,11.220232,0.133050
based upon,based,upon,170,3108,2424,1.180963,7.169428,12.947829,0.133049
19 th,19,th,127,457,930,0.066623,10.896529,11.263516,0.132846
comes from,comes,from,213,679,27649,2.942875,6.177484,14.392877,0.132832
criminal law,criminal,law,146,709,3898,0.433222,8.396646,12.047192,0.132755
very similar,very,similar,197,5807,2497,2.272966,6.437476,13.873727,0.132752
social class,social,class,199,6473,2334,2.368258,6.392798,13.938855,0.132651
cope with,cope,with,173,215,39877,1.343951,7.008148,13.050768,0.132473
defined as,defined,as,430,1277,66042,13.220067,5.023535,20.098913,0.132219
doing so,doing,so,169,779,9988,1.219659,7.114401,12.90618,0.132196
this case,this,case,895,53108,4378,36.446703,4.618027,28.698272,0.132049
ensure that,ensure,that,470,1259,77225,15.240745,4.946655,20.97648,0.131933
coupled with,coupled,with,170,205,39877,1.281442,7.051623,12.940123,0.131924
build up,build,up,144,542,5131,0.435937,8.367733,11.963672,0.131735
likely to,likely,to,1510,2392,182356,68.376014,4.464914,37.099113,0.131632
interaction between,interaction,between,174,868,10907,1.484047,6.873407,13.078401,0.131402
lower than,lower,than,218,1990,10745,3.35183,6.023235,14.537808,0.131380
free trade,free,trade,147,1570,2268,0.558168,8.0409,12.078319,0.131107
characterised by,characterised,by,173,247,38073,1.474133,6.874762,13.04087,0.131100
do so,do,so,314,5025,9988,7.867507,5.318714,17.276056,0.131096
it appears,it,appears,370,49011,1376,10.57145,5.12928,18.685801,0.131062
corporate social,corporate,social,155,818,6473,0.830006,7.54493,12.383232,0.130877
different ways,different,ways,174,7511,1332,1.568283,6.793757,13.072015,0.130545
this paper,this,paper,326,53108,1027,8.549741,5.252848,17.581944,0.130542
referred to,referred,to,434,485,182356,13.863866,4.968294,20.16718,0.130366
if you,if,you,228,10823,2330,3.952994,5.849944,14.837875,0.130307
to determine,to,determine,761,182356,1064,30.414749,4.645053,26.483695,0.130088
compared to,compared,to,1090,1659,182356,47.422996,4.522598,31.578747,0.130034
demand for,demand,for,445,1713,53993,14.49831,4.939849,20.407737,0.130002
we must,we,must,337,12541,4679,9.198304,5.195237,17.856496,0.129958
combined with,combined,with,203,460,39877,2.87543,6.141558,14.045991,0.129906
can see,can,see,449,22213,4229,14.725412,4.930336,20.494685,0.129888
growth rate,growth,rate,164,2488,3189,1.243734,7.042874,12.709129,0.129833
be taken,be,taken,594,56510,2485,22.012747,4.754052,23.468921,0.129829
find out,find,out,180,1923,6266,1.888827,6.574362,13.275623,0.129823
high quality,high,quality,171,4544,2135,1.520753,6.813066,12.960402,0.129812
reynolds number,reynolds,number,128,230,4450,0.160439,9.639902,11.299528,0.129707
to avoid,to,avoid,595,182356,774,22.125015,4.749139,23.485585,0.129632
european council,european,council,130,1974,655,0.20268,9.325092,11.383978,0.129587
hospitality industry,hospitality,industry,126,491,1760,0.135462,9.861322,11.212904,0.129400
carrying out,carrying,out,132,260,6266,0.25538,9.013679,11.466897,0.129334
in turn,in,turn,641,139145,1130,24.647257,4.700825,24.34447,0.129068
her own,her,own,213,6831,3276,3.507928,5.92409,14.35416,0.128550
my opinion,my,opinion,132,2999,630,0.296169,8.799902,11.463347,0.128415
conjunction with,conjunction,with,163,214,39877,1.3377,6.928973,12.662369,0.128393
a result,a,result,1459,127246,3407,67.957723,4.424199,36.417714,0.128218
at home,at,home,225,21726,1212,4.12767,5.768454,14.724822,0.128128
refer to,refer,to,418,477,182356,13.635183,4.938097,19.77813,0.128027
believes that,believes,that,277,549,77225,6.645885,5.381281,16.244004,0.127996
amount of,amount,of,1628,2031,242534,77.215609,4.398064,38.434764,0.127930
ability to,ability,to,1054,1631,182356,46.622608,4.498701,31.029294,0.127894
corporate governance,corporate,governance,118,818,483,0.061933,10.895788,10.857079,0.127831
high levels,high,levels,164,4544,2019,1.438127,6.833361,12.69395,0.127764
shows how,shows,how,195,2836,6298,2.799829,6.121992,13.76374,0.127651
real world,real,world,159,1579,5090,1.259861,6.979619,12.509607,0.127521
our own,our,own,177,3970,3276,2.038717,6.439944,13.150895,0.127285
any other,any,other,358,6090,11378,10.861899,5.042611,18.346819,0.126964
standard deviation,standard,deviation,115,1416,226,0.050164,11.162687,10.719127,0.126687
starting point,starting,point,127,491,3308,0.254607,8.962343,11.246835,0.126677
this report,this,report,427,53108,1734,14.435492,4.886544,19.965396,0.126618
an individual,an,individual,376,27148,2786,11.85609,4.987032,18.779288,0.126573
opposed to,opposed,to,398,454,182356,12.977722,4.938659,19.299423,0.126545
assume that,assume,that,252,470,77225,5.689555,5.468964,15.5161,0.126436
economic development,economic,development,180,3646,3971,2.269547,6.309449,13.247246,0.126427
suggesting that,suggesting,that,266,527,77225,6.379565,5.381824,15.91835,0.126426
a variety,a,variety,452,127246,793,15.817574,4.836723,20.516296,0.126209
conclude that,conclude,that,246,450,77225,5.447447,5.496934,15.337071,0.126117
need to,need,to,2164,3775,182356,107.909471,4.325807,44.199118,0.126100
claims that,claims,that,335,819,77225,9.914353,5.078499,17.761326,0.125967
described as,described,as,391,1236,66042,12.795617,4.933447,19.126618,0.125800
in relation,in,relation,617,139145,1123,24.494575,4.654736,23.85337,0.125797
leads to,leads,to,603,837,182356,23.925888,4.655514,23.581721,0.125295
al 1997,al,1997,144,3446,1624,0.877251,7.358863,11.926896,0.125223
been shown,been,shown,244,12665,2777,5.513198,5.467848,15.267553,0.125104
we need,we,need,282,12541,3775,7.421158,5.247907,16.350932,0.125049
stem cells,stem,cells,113,279,1314,0.057467,10.941289,10.62474,0.125034
put into,put,into,167,1306,9028,1.848235,6.497556,12.779827,0.125016
reason why,reason,why,133,1805,1801,0.509581,8.027898,11.488376,0.125009
figure 5,figure,5,148,3091,2185,1.0587,7.127159,12.0785,0.124894
we see,we,see,299,12541,4229,8.313663,5.168517,16.810825,0.124865
